half_spread,inventory_penalty,final_pnl_mean,final_pnl_std,average_pnl_mean,average_pnl_std,pnl_volatility_mean,pnl_volatility_std,risk_adjusted_pnl_mean,risk_adjusted_pnl_std,max_drawdown_mean,max_drawdown_std,fill_rate_mean,fill_rate_std,bid_fill_rate_mean,bid_fill_rate_std,ask_fill_rate_mean,ask_fill_rate_std,average_inventory_mean,average_inventory_std,inventory_std_mean,inventory_std_std,max_absolute_inventory_mean,max_absolute_inventory_std,spread_capture_mean,spread_capture_std,adverse_selection_cost_mean,adverse_selection_cost_std,inventory_penalty_cost_mean,inventory_penalty_cost_std,final_cash_mean,final_cash_std,final_cash_pnl_mean,final_cash_pnl_std,final_mark_to_market_wealth_mean,final_mark_to_market_wealth_std,n_runs
0.6,0.03,80.0093824582799,15.639058712384704,41.15599627654878,5.172544285829338,0.6619043129209302,0.18784431723552955,5.886393315725632,2.1361493735245127,10.538612111880287,9.46210145336042,0.1666,0.009099450532861863,0.1672,0.008671793355471514,0.16599999999999998,0.010488088481701506,-0.0008000000000000229,0.47419531840793194,2.6955710173146072,0.7990676524968933,7.0,1.5811388300841898,97.94399999999901,5.258838274752263,0.21949294561205193,0.39773536520551234,119.35200000000009,68.32694322154319,13.911824158546153,315.3200420678081,13.911824158546153,315.3200420678081,80.0093824582799,15.639058712384704,5
0.6,0.05,83.87077190429669,12.028344711350316,42.402339495597246,5.49438120697542,0.5838347096219312,0.08970578831375854,6.598534539965644,1.507922968661197,8.167036948644204,4.6725804446916515,0.1672,0.0066483080554378664,0.1676,0.006228964600958971,0.1668,0.008438009243891582,0.1548,0.39582218229907223,2.3245153136961285,0.3932641548504629,5.6,0.5477225575051662,96.96999999999905,3.670762863493098,0.22751081467602888,0.3920492026663244,141.91000000000014,44.92068565816879,37.63342250155515,328.5002970049332,37.63342250155515,328.5002970049332,83.87077190429669,12.028344711350316,5
0.8,0.0,95.79793609417918,19.417593836142593,42.45335453651012,8.350355463975871,1.1606684328181531,0.3270853301785354,4.034631499097622,1.7341988298104836,15.065064033209342,6.776044076511941,0.1282,0.009679876032264058,0.1312,0.014254823744964364,0.1252,0.009859006035092995,-0.12479999999999994,5.036642254518381,3.2767901061429043,0.7348974420658841,11.4,2.701851217221259,102.55999999999963,7.743900825811211,0.1214414464458173,0.27155132953874767,0.0,0.0,-212.1356808883862,730.7486922866598,-212.1356808883862,730.7486922866598,95.79793609417918,19.417593836142593,5
0.8,0.01,89.78854731911636,17.721415874863737,43.23454287479067,6.234266628797724,0.8809644789763684,0.22903854313974017,4.765434284011378,1.4270818174809188,12.649777453588808,7.6147589595981895,0.1298,0.00837854402626137,0.13240000000000002,0.010430723848324238,0.1272,0.009121403400793107,0.9536,2.4510770693717485,3.010821767774245,0.8156104176449285,8.4,1.51657508881031,103.39799999999964,6.585667771760138,0.11944144644581627,0.2670791935837458,76.564,39.41725167994338,-176.38041802564038,499.13272990618776,-176.38041802564038,499.13272990618776,89.78854731911636,17.721415874863737,5
0.8,0.03,89.61430829647128,10.842135679834842,44.49404967733902,3.8417967346655177,0.709024180787565,0.1406173773304614,5.8545954150414135,1.396619480174764,10.729695513232253,7.447224079347426,0.1292,0.00772657750883275,0.13,0.008831760866327849,0.12840000000000001,0.00779743547584718,0.28280000000000005,1.2480477554965597,2.590839020946958,0.5379112003140155,7.0,1.0,101.7459999999996,6.049039593191617,0.11150684513647206,0.24360496671668716,124.05000000000022,49.2270748673939,4.938824742731333,312.4543176006369,4.938824742731333,312.4543176006369,89.61430829647128,10.842135679834842,5
0.8,0.05,89.8517051037127,8.094315350685351,44.34791379086998,4.510048692141289,0.6054274861572124,0.08874380882552493,6.7529128815614,1.1594133959900148,7.316218134920552,4.957114039850957,0.1298,0.008899438184514795,0.13,0.009380831519646861,0.1296,0.008876936408468865,0.24479999999999996,0.7611604298700767,2.1029544930640727,0.37376998291333385,5.6,0.5477225575051662,100.98999999999961,6.926615335067995,0.10150684513647264,0.22679345520892766,126.43999999999969,44.09778055639517,66.07132115813042,208.15157049819382,66.07132115813042,208.15157049819382,89.8517051037127,8.094315350685351,5
1.0,0.0,94.35358399912596,19.90062627693563,42.095780528293304,6.802660671789294,1.2740724769176421,0.3439407837294783,3.4505388924997495,0.8704328716746321,20.626918573083152,12.214620826971057,0.0986,0.008590692637965816,0.1012,0.017239489551607957,0.096,0.007071067811865473,-0.3571999999999999,5.295671364425855,3.321690589050479,1.0718393248369495,11.6,2.792848008753788,98.6,8.59069263796581,0.08144144644581672,0.18210861043875484,0.0,0.0,-178.57716281522602,978.2316472780345,-178.57716281522602,978.2316472780345,94.35358399912596,19.90062627693563,5
1.0,0.01,90.95960825897154,15.085575126290241,42.13380542539955,5.065677593133638,0.890657027868102,0.1394171565262814,4.670173637878834,1.1209302316900749,13.430620712701852,5.631892388877534,0.099,0.009273618495495706,0.1012,0.014042791745233565,0.0968,0.0064187226143524855,-0.35120000000000007,2.787098347744478,2.694108623740955,0.5719522745437431,8.6,1.6733200530681511,98.696,9.265208038678928,0.07744144644581752,0.17316433852875746,69.28800000000015,27.20383925110587,-136.23154968440696,564.4939760677242,-136.23154968440696,564.4939760677242,90.95960825897154,15.085575126290241,5
1.0,0.03,89.33087377173726,10.903194743979002,42.05042701034622,4.796873856662472,0.7117990165086171,0.08387801605672522,5.635220819037071,0.5936486556386191,9.594570624355573,5.146660897833015,0.0994,0.011148990985734986,0.1008,0.013827508813954883,0.098,0.008831760866327847,0.31920000000000004,1.1855586025161304,2.560748409502306,0.29206074546105526,6.4,1.5165750888103104,98.14599999999996,11.052892381634761,0.06944144644581626,0.15527579470875635,117.78000000000029,25.454014418162043,-55.57585373029466,310.3728736382874,-55.57585373029466,310.3728736382874,89.33087377173726,10.903194743979002,5
1.0,0.05,87.31787642221404,7.410695518629109,41.46368721672294,3.265485584845338,0.6292093302241495,0.04894048225298343,6.2110168071926335,0.3533290862574672,7.669363254258258,4.190727104400953,0.0982,0.009364827814754525,0.0988,0.011366617790706262,0.09759999999999999,0.007924645102463579,0.27759999999999996,0.6326442918417899,2.2082903481153666,0.19429661094740033,5.4,0.894427190999916,96.09,9.103804149914474,0.07144144644581729,0.15974793066375823,132.60000000000008,19.59735313760524,22.638496051741527,280.91911009479014,22.638496051741527,280.91911009479014,87.31787642221404,7.410695518629109,5
